scandate,AntiVir,AVG,Comodo,F-Secure,Kaspersky,McAFee,Microsoft,Sophos,Symantec
2013-11-11,5,1,3,21,35,97,40,75,6
2013-11-12,15,2,4,54,71,178,79,146,2
2013-11-13,15,2,5,48,70,179,78,146,9
2013-11-14,15,2,4,53,70,179,79,146,16
2013-11-15,15,2,4,45,69,174,82,76,2
2013-11-16,15,2,4,49,70,184,87,78,2
2013-11-17,15,2,4,45,71,179,89,78,11
2013-11-18,15,2,4,43,70,183,88,78,3
2013-11-19,15,2,5,54,70,180,90,78,12
2013-11-20,15,2,5,53,69,175,85,78,15
2013-11-21,15,2,6,52,70,183,84,78,20
2013-11-22,15,2,5,50,71,178,86,78,4
2013-11-23,15,2,5,45,71,183,87,78,6
2013-11-24,15,2,5,47,70,183,86,78,11
2013-11-25,15,2,5,45,70,148,84,78,20
2013-11-26,15,2,5,43,70,180,86,78,19
2013-11-27,15,2,5,53,71,179,79,78,21
2013-11-28,15,2,5,48,71,183,80,78,22
2013-11-29,15,2,5,47,70,107,78,77,2
2013-11-30,15,2,5,41,71,108,85,78,10
2013-12-01,15,2,5,45,69,107,85,78,10
2013-12-02,15,2,5,39,70,106,83,78,9
2013-12-03,15,2,5,44,70,99,78,78,9
2013-12-04,15,2,5,37,71,84,89,78,17
2013-12-05,15,2,5,44,71,88,87,78,19
2013-12-06,15,2,5,38,71,108,82,77,19
2013-12-07,15,2,5,40,71,101,87,78,18
2013-12-08,15,2,5,42,71,107,93,78,16
2013-12-09,15,2,5,36,71,107,86,78,15
2013-12-10,15,2,5,66,70,108,79,77,17
2013-12-11,15,2,5,69,71,108,79,76,11
