scandate,AntiVir,AVG,Comodo,F-Secure,Kaspersky,McAFee,Microsoft,Sophos,Symantec
11/11/2013,5,32,2,21,35,34,40,32,0
12/11/2013,14,62,2,53,69,67,79,59,8
13/11/2013,14,58,2,47,69,65,78,59,8
14/11/2013,14,61,2,53,70,67,79,59,2
15/11/2013,14,57,2,45,68,66,75,57,1
16/11/2013,14,62,2,49,69,67,79,59,1
17/11/2013,14,62,2,45,69,67,79,59,1
18/11/2013,14,62,2,43,70,67,79,59,1
19/11/2013,14,62,2,54,69,67,79,59,1
20/11/2013,14,62,2,53,68,67,79,59,1
21/11/2013,14,62,2,52,70,67,79,59,3
22/11/2013,14,62,2,50,69,67,79,59,1
23/11/2013,14,62,2,45,69,67,79,59,1
24/11/2013,14,62,2,47,70,67,79,59,1
25/11/2013,14,62,2,45,70,68,79,59,6
26/11/2013,14,61,2,44,70,66,79,59,1
27/11/2013,14,62,2,53,69,67,79,59,2
28/11/2013,14,61,2,49,69,67,79,59,4
29/11/2013,14,62,2,47,68,67,78,58,1
30/11/2013,14,62,2,41,71,67,79,59,3
01/12/2013,14,62,2,45,68,67,79,60,3
02/12/2013,14,62,2,39,69,67,79,60,0
03/12/2013,14,62,73,44,69,67,78,59,4
04/12/2013,14,62,110,37,69,67,79,59,7
05/12/2013,14,61,3,44,69,66,79,59,4
06/12/2013,14,62,41,38,69,67,79,58,1
07/12/2013,14,61,23,40,69,67,79,59,1
08/12/2013,14,62,48,42,75,67,79,60,1
09/12/2013,14,62,83,36,69,67,79,62,1
10/12/2013,14,61,43,40,68,67,79,59,1
11/12/2013,14,62,2,51,69,67,79,58,3
