md5,AntiVir,AVG,Comodo,F-Secure,Kaspersky,McAFee,Microsoft,Sophos,Symantec
008ff08765ebe8d874e9513d7b83a9d1,0,0,1,0,0,0,0,0,0
0092eae69b458ccf4c641debc8ba23b0,0,0,1,0,0,0,0,0,0
01273bec34977ece39a9125a038fb7ab,0,0,1,0,0,0,0,0,0
012ac8c64dc6ec115d611f57d1bbd516,0,0,1,0,0,0,0,0,0
01368c1f7fbf53b65c36e0164f0202bc,0,31,0,27,31,31,31,31,0
01d3a9e93f20d9245d8f96cd0ed5cd7e,0,0,1,0,0,0,0,0,0
036ed6fe1aae5cad0ce1d2a9c51dae4f,0,0,1,0,0,0,0,0,0
0452f2354dc30d7ebc648093fb822e2f,0,0,1,0,0,0,0,0,0
0456206510be7afc19b877327a58d2ca,0,0,1,0,0,0,0,0,0
053a1743020ef0ab2a9c6809b6036cc1,0,0,0,1,0,0,0,0,0
059215977aaa34460ca6de037620ec15,31,0,0,0,31,31,31,31,0
05c5b7f0e8c357a51823334631a34528,0,0,1,0,0,0,0,0,0
05c6bf1a81e695a29f94b0918025923c,0,31,1,29,31,31,31,31,0
05df7a03ee80f6c0a1b6dec074e093e2,0,31,0,27,31,31,31,31,0
0744f7bdabb22f9c338a7c585d4d4951,0,0,1,0,0,0,0,0,0
075bbc1a2dcbcd96ba56c109b15ac7e7,0,0,1,0,0,0,0,0,0
07e1fb22b940d96b14d6133793024c6a,0,0,1,0,0,0,0,0,0
0859f181992bb4b113cdb94420347e72,0,28,0,23,30,30,30,30,0
08a26b1346ec78397cdeeb6bc9d21320,31,0,0,0,31,31,31,0,0
0ea60714ff2d1ad585cd3ea4b1adf50f,0,0,1,0,0,0,0,0,0
0f1d6bb72c10364d1ba807b47cba6700,0,31,0,23,31,31,31,31,0
0f51974913a4f5be110ab1069c93e13f,0,0,1,0,0,0,0,0,0
0f6bff6713b031c1ca279f555953a02a,0,0,1,0,0,0,0,0,0
0f76ceb8fd6469621c7ab1c0ce10953d,0,0,1,0,0,0,0,0,0
0f89999f1d97815f3e8a6b936c28d09b,0,0,1,0,0,0,0,0,0
0fab16ad9272bc07cde1506afd89e3e7,0,0,1,0,0,0,0,0,0
0ffdd7810b6a6836cc2c53543952614e,0,0,1,0,0,0,0,0,0
1020ef98049a1b4239448402568e2813,0,0,0,0,0,0,0,0,1
12394a578825565c30506f461e6d5aa3,0,31,0,30,31,31,31,31,1
14cef3cf2aa67a1df490ec5689d87739,0,0,1,0,0,0,0,0,0
14d7b157c571e1ce006c89738448875a,0,0,1,0,0,0,0,0,0
15a5ab2c39940b874047d0f239a63a07,0,31,0,26,31,31,31,31,0
15b2ebe8ef63412b0fc9259d35282b11,0,31,0,26,31,31,31,31,0
16711e6b6403979610a7bc376316836d,0,0,1,0,0,0,0,0,0
1684db226ef7b6f888f20722f5d99fe0,0,0,1,0,0,0,0,0,0
168bf97fa2423eab01d70078887af662,0,0,1,0,0,0,0,0,0
16ad61e9620ef96d0e08fee5907ae5c6,0,0,1,0,0,0,0,0,0
16e213f3517ea64c0be7af7a0abc242e,0,0,0,0,0,0,0,0,1
179802a808b13af9bac14e3a95d842ae,0,31,0,29,31,31,31,31,1
17987a62fe66cb48844b536837ce9080,0,0,0,0,0,0,0,0,1
179db61a8ffd3b0f50ff8369f948efd5,0,0,0,0,0,0,0,0,1
17e02027b72d3c570ea7f1c455b4eda1,0,0,1,0,0,0,0,0,0
18ae0f1fabf222550a58af41fe1ad694,0,0,1,0,0,0,0,0,0
18b446e94ba7d0742d24fab66492b0f8,0,0,1,0,0,0,0,0,0
18c7d778ca1726acc6228fcf6234e3ee,0,0,0,0,0,0,0,0,1
18cea328319a329795c156cc9ef4a56f,0,0,1,0,0,0,0,0,0
196c73960fe487a9effb13330bb4a123,0,0,1,0,0,0,0,0,0
1972aef07be11894ef1454e5be700ad0,0,0,1,0,0,0,0,0,0
197565af00a084a9976be005a8ce3bee,0,0,1,0,0,0,0,0,0
1979ec4f9b87b7191f81594964709984,0,0,1,0,0,0,0,0,0
1aa4447b08531dcb6c29e005f039905b,0,0,0,0,1,0,0,0,0
1b2ffbc757f84ca9c6db692135224a95,0,0,0,0,0,0,31,0,0
1b7fac5aa2716b4fabf944850c2e7bdf,0,0,0,0,0,1,0,0,0
1bb510cb749cb851a8439d6450a13e90,0,31,0,25,31,31,31,31,0
1d419d615dbe5a238bbaa569b3829a23,0,0,1,0,0,0,0,0,0
1ee727ac887e6a2425719ed082fbdbb5,0,0,1,0,0,0,0,0,0
1ef31cf21ea1d943a168d4ea403a833c,0,0,2,0,0,0,0,0,0
1f07e68753ba519e9a556b8e9e5d28c7,0,0,1,0,0,0,0,0,0
1f1ff4b4936ce7bb7bf88888c05c4d14,0,0,0,0,0,0,0,0,1
1f63805a71825bc2191ab7dc6fcc174b,0,0,1,0,0,0,0,0,0
1f6ed8ee2ca567edb853396cedd4594f,0,0,1,0,0,0,0,0,0
207932f99779a18505accf98c2c7eda0,0,0,1,0,0,0,0,0,0
21c7968bb285e109124c7430080091ed,0,0,1,0,0,0,0,0,0
21cbaa953508a0e93d62fad26a74fbde,0,0,1,0,0,0,0,0,0
21e392b8bf644c80e34b5d7a369538c6,0,0,1,0,0,0,0,0,0
21f8fbdf84b762653ea22c77d7d037a6,0,0,1,0,0,0,0,0,0
220afb5d546c740f90fa7c72213808a2,0,31,0,27,30,31,31,31,0
22d3ccabd43ab95d7894cd8b538d34f3,0,0,1,0,0,0,0,0,0
22d8946916e8358cbb46bd53e476b7f2,0,0,1,0,0,0,0,0,0
230565dddf2beaed5bbbad2a85fb4d79,0,0,1,0,0,0,0,0,0
